Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1462834.235,-707,1,8,17.64806,284.91695,6.64466,282.11626,70.807,0,66.10163,-5.46689
MF,1462836.78,-707,1,11,6.7225,283.33,7.04213,284.68825,288.91511,0,293.62013,-5.41812
ML,1463102.731,-707,10,4,5.55306,178.818,1.24287,183.71495,268.11266,0,268.70866,-5.01665
EF,1463155.227,-707,11,25,17.44917,244.90346,-0.56606,237.0741,64.05274,0,69.96769,-5.1697
EL,1463404.308,-706,8,1,19.39361,137.56167,-7.19871,120.73983,100.46079,0,117.8501,-5.64753
MF,1463420.705,-706,8,18,4.92972,128.48625,-8.64175,136.72883,258.22368,0,247.56652,-5.37234
ML,1463672.712,-705,4,27,5.08083,17.89593,-1.08378,28.11479,262.84142,0,253.90916,-5.1003
EF,1463730.308,-705,6,23,19.39944,88.62383,0.97609,82.98733,119.30781,0,121.67714,-5.20783
EL,1464000.269,-704,3,19,18.46,356.17284,7.4589,351.82957,96.18329,0,89.35512,-5.28213
MF,1464002.742,-704,3,22,5.81611,354.60952,7.20269,354.22931,264.82349,0,269.27511,-5.68072
ML,1464271.773,-704,12,16,6.55639,252.47099,-0.29934,258.3215,297.07462,0,294.17462,-5.09215
EF,1464320.248,-703,2,2,17.94639,313.10243,-1.43233,307.27117,68.23081,0,71.24068,-5.19746
EL,1464574.25,-703,10,14,18.00194,211.18592,-6.06861,194.35901,69.15204,0,86.31557,-5.00752
MF,1464588.744,-703,10,29,5.86389,203.29034,-3.33315,209.07114,284.37757,0,280.11151,-5.13218
ML,1464854.693,-702,7,22,4.62,105.34908,1.00327,110.4867,241.75118,0,240.23375,-5.01022
EF,1464899.284,-702,9,4,18.82472,160.93601,1.26289,154.07225,100.22624,0,105.08012,-5.01983
EL,1465164.3,-701,5,27,19.19722,63.71538,-0.30271,57.27637,114.64833,0,117.41882,-5.82262
